Exercise Name,Primary Muscle Group(s),Calories Burned per min / set (avg range),Category,Equipment Required,Description,Difficulty Level
Back Snatch,Back,3-15 kcal/min,Power,Dumbbell,"This is a power exercise that primarily targets the back. It is performed using dumbbell and helps improve strength, endurance, or mobility. Suitable for advanced level trainees aiming to enhance overall fitness.",Advanced
Triceps Hip Flexor Stretch,Triceps,6-20 kcal/min,Rehab,Dumbbell,"This is a rehab exercise that primarily targets the triceps. It is performed using dumbbell and helps improve strength, endurance, or mobility. Suitable for beginner level trainees aiming to enhance overall fitness.",Beginner
Legs Stretch,Legs,6-12 kcal/min,Mobility,Barbell,"This is a mobility exercise that primarily targets the legs. It is performed using barbell and helps improve strength, endurance, or mobility. Suitable for advanced level trainees aiming to enhance overall fitness.",Advanced
Chest Ankle Mobility,Chest,5-16 kcal/min,Rehab,Dumbbell,"This is a rehab exercise that primarily targets the chest. It is performed using dumbbell and helps improve strength, endurance, or mobility. Suitable for advanced level trainees aiming to enhance overall fitness.",Advanced
Core Step-Up,Core,6-11 kcal/min,Cardio,Dumbbell,"This is a cardio exercise that primarily targets the core. It is performed using dumbbell and helps improve strength, endurance, or mobility. Suitable for beginner level trainees aiming to enhance overall fitness.",Beginner
Core Hip Flexor Stretch,Core,10-11 kcal/min,Rehab,Barbell,"This is a rehab exercise that primarily targets the core. It is performed using barbell and helps improve strength, endurance, or mobility. Suitable for advanced level trainees aiming to enhance overall fitness.",Advanced
Glutes Band Walk,Glutes,7-16 kcal/min,Rehab,Medicine Ball,"This is a rehab exercise that primarily targets the glutes. It is performed using medicine ball and helps improve strength, endurance, or mobility. Suitable for intermediate level trainees aiming to enhance overall fitness.",Intermediate
Calves V-Up,Calves,14-19 kcal/min,Core,Dumbbell,"This is a core exercise that primarily targets the calves. It is performed using dumbbell and helps improve strength, endurance, or mobility. Suitable for intermediate level trainees aiming to enhance overall fitness.",Intermediate
Hamstrings Twist,Hamstrings,12-12 kcal/min,Mobility,Dumbbell,"This is a mobility exercise that primarily targets the hamstrings. It is performed using dumbbell and helps improve strength, endurance, or mobility. Suitable for intermediate level trainees aiming to enhance overall fitness.",Intermediate
Biceps Burpees,Biceps,14-16 kcal/min,Cardio,Machine,"This is a cardio exercise that primarily targets the biceps. It is performed using machine and helps improve strength, endurance, or mobility. Suitable for intermediate level trainees aiming to enhance overall fitness.",Intermediate
Core Windshield Wiper,Core,5-11 kcal/min,Core,Barbell,"This is a core exercise that primarily targets the core. It is performed using barbell and helps improve strength, endurance, or mobility. Suitable for beginner level trainees aiming to enhance overall fitness.",Beginner
Core Leg Raise,Core,14-11 kcal/min,Core,Kettlebell,"This is a core exercise that primarily targets the core. It is performed using kettlebell and helps improve strength, endurance, or mobility. Suitable for beginner level trainees aiming to enhance overall fitness.",Beginner
Shoulders Raise,Shoulders,11-17 kcal/min,Strength,Kettlebell,"This is a strength exercise that primarily targets the shoulders. It is performed using kettlebell and helps improve strength, endurance, or mobility. Suitable for beginner level trainees aiming to enhance overall fitness.",Beginner
Core Extension,Core,14-15 kcal/min,Strength,Kettlebell,"This is a strength exercise that primarily targets the core. It is performed using kettlebell and helps improve strength, endurance, or mobility. Suitable for beginner level trainees aiming to enhance overall fitness.",Beginner
Calves Clean,Calves,13-12 kcal/min,Power,Barbell,"This is a power exercise that primarily targets the calves. It is performed using barbell and helps improve strength, endurance, or mobility. Suitable for beginner level trainees aiming to enhance overall fitness.",Beginner
Shoulders Clean,Shoulders,8-18 kcal/min,Power,Machine,"This is a power exercise that primarily targets the shoulders. It is performed using machine and helps improve strength, endurance, or mobility. Suitable for advanced level trainees aiming to enhance overall fitness.",Advanced
Hamstrings Hollow Hold,Hamstrings,7-20 kcal/min,Core,Dumbbell,"This is a core exercise that primarily targets the hamstrings. It is performed using dumbbell and helps improve strength, endurance, or mobility. Suitable for advanced level trainees aiming to enhance overall fitness.",Advanced
Mobility/Stretch Pull,Mobility/Stretch,4-13 kcal/min,Strength,Bodyweight,"This is a strength exercise that primarily targets the mobility/stretch. It is performed using bodyweight and helps improve strength, endurance, or mobility. Suitable for beginner level trainees aiming to enhance overall fitness.",Beginner
Core Burpees,Core,11-15 kcal/min,Cardio,Dumbbell,"This is a cardio exercise that primarily targets the core. It is performed using dumbbell and helps improve strength, endurance, or mobility. Suitable for intermediate level trainees aiming to enhance overall fitness.",Intermediate
Biceps Leg Raise,Biceps,11-14 kcal/min,Core,Cable,"This is a core exercise that primarily targets the biceps. It is performed using cable and helps improve strength, endurance, or mobility. Suitable for beginner level trainees aiming to enhance overall fitness.",Beginner
Chest Heel Raise,Chest,10-11 kcal/min,Rehab,Dumbbell,"This is a rehab exercise that primarily targets the chest. It is performed using dumbbell and helps improve strength, endurance, or mobility. Suitable for advanced level trainees aiming to enhance overall fitness.",Advanced
Mobility/Stretch V-Up,Mobility/Stretch,3-17 kcal/min,Core,Machine,"This is a core exercise that primarily targets the mobility/stretch. It is performed using machine and helps improve strength, endurance, or mobility. Suitable for intermediate level trainees aiming to enhance overall fitness.",Intermediate
Glutes Leg Raise,Glutes,6-16 kcal/min,Core,None,"This is a core exercise that primarily targets the glutes. It is performed using none and helps improve strength, endurance, or mobility. Suitable for advanced level trainees aiming to enhance overall fitness.",Advanced
Chest Box Jump,Chest,7-16 kcal/min,Cardio,Dumbbell,"This is a cardio exercise that primarily targets the chest. It is performed using dumbbell and helps improve strength, endurance, or mobility. Suitable for beginner level trainees aiming to enhance overall fitness.",Beginner
Quadriceps Sprint,Quadriceps,10-20 kcal/min,Cardio,Barbell,"This is a cardio exercise that primarily targets the quadriceps. It is performed using barbell and helps improve strength, endurance, or mobility. Suitable for beginner level trainees aiming to enhance overall fitness.",Beginner
Calves Raise,Calves,5-11 kcal/min,Strength,Resistance Band,"This is a strength exercise that primarily targets the calves. It is performed using resistance band and helps improve strength, endurance, or mobility. Suitable for advanced level trainees aiming to enhance overall fitness.",Advanced
Back Elliptical,Back,4-11 kcal/min,Cardio,Cable,"This is a cardio exercise that primarily targets the back. It is performed using cable and helps improve strength, endurance, or mobility. Suitable for beginner level trainees aiming to enhance overall fitness.",Beginner
Back Elliptical,Back,10-14 kcal/min,Cardio,Resistance Band,"This is a cardio exercise that primarily targets the back. It is performed using resistance band and helps improve strength, endurance, or mobility. Suitable for beginner level trainees aiming to enhance overall fitness.",Beginner
Chest Flutter Kick,Chest,11-17 kcal/min,Core,Kettlebell,"This is a core exercise that primarily targets the chest. It is performed using kettlebell and helps improve strength, endurance, or mobility. Suitable for intermediate level trainees aiming to enhance overall fitness.",Intermediate
Shoulders Rowing,Shoulders,13-15 kcal/min,Cardio,Dumbbell,"This is a cardio exercise that primarily targets the shoulders. It is performed using dumbbell and helps improve strength, endurance, or mobility. Suitable for intermediate level trainees aiming to enhance overall fitness.",Intermediate
Glutes Rotation,Glutes,3-20 kcal/min,Mobility,Machine,"This is a mobility exercise that primarily targets the glutes. It is performed using machine and helps improve strength, endurance, or mobility. Suitable for intermediate level trainees aiming to enhance overall fitness.",Intermediate
Chest Rotation,Chest,4-10 kcal/min,Mobility,Medicine Ball,"This is a mobility exercise that primarily targets the chest. It is performed using medicine ball and helps improve strength, endurance, or mobility. Suitable for beginner level trainees aiming to enhance overall fitness.",Beginner
Quadriceps Heel Raise,Quadriceps,10-18 kcal/min,Rehab,Machine,"This is a rehab exercise that primarily targets the quadriceps. It is performed using machine and helps improve strength, endurance, or mobility. Suitable for intermediate level trainees aiming to enhance overall fitness.",Intermediate
Full Body Reach,Full Body,14-19 kcal/min,Mobility,Machine,"This is a mobility exercise that primarily targets the full body. It is performed using machine and helps improve strength, endurance, or mobility. Suitable for advanced level trainees aiming to enhance overall fitness.",Advanced
Back Elliptical,Back,6-13 kcal/min,Cardio,Resistance Band,"This is a cardio exercise that primarily targets the back. It is performed using resistance band and helps improve strength, endurance, or mobility. Suitable for intermediate level trainees aiming to enhance overall fitness.",Intermediate
Glutes Hollow Hold,Glutes,5-18 kcal/min,Core,Dumbbell,"This is a core exercise that primarily targets the glutes. It is performed using dumbbell and helps improve strength, endurance, or mobility. Suitable for intermediate level trainees aiming to enhance overall fitness.",Intermediate
Core Pilates Move,Core,14-13 kcal/min,Mobility,Dumbbell,"This is a mobility exercise that primarily targets the core. It is performed using dumbbell and helps improve strength, endurance, or mobility. Suitable for beginner level trainees aiming to enhance overall fitness.",Beginner
Biceps Ankle Mobility,Biceps,4-13 kcal/min,Rehab,Resistance Band,"This is a rehab exercise that primarily targets the biceps. It is performed using resistance band and helps improve strength, endurance, or mobility. Suitable for beginner level trainees aiming to enhance overall fitness.",Beginner
Core Press,Core,15-17 kcal/min,Strength,Kettlebell,"This is a strength exercise that primarily targets the core. It is performed using kettlebell and helps improve strength, endurance, or mobility. Suitable for advanced level trainees aiming to enhance overall fitness.",Advanced
Triceps Pose,Triceps,15-20 kcal/min,Mobility,None,"This is a mobility exercise that primarily targets the triceps. It is performed using none and helps improve strength, endurance, or mobility. Suitable for intermediate level trainees aiming to enhance overall fitness.",Intermediate
Calves Pull,Calves,15-16 kcal/min,Strength,Dumbbell,"This is a strength exercise that primarily targets the calves. It is performed using dumbbell and helps improve strength, endurance, or mobility. Suitable for beginner level trainees aiming to enhance overall fitness.",Beginner
Hamstrings Heel Raise,Hamstrings,7-18 kcal/min,Rehab,Machine,"This is a rehab exercise that primarily targets the hamstrings. It is performed using machine and helps improve strength, endurance, or mobility. Suitable for intermediate level trainees aiming to enhance overall fitness.",Intermediate
Full Body Broad Jump,Full Body,12-11 kcal/min,Power,Dumbbell,"This is a power exercise that primarily targets the full body. It is performed using dumbbell and helps improve strength, endurance, or mobility. Suitable for intermediate level trainees aiming to enhance overall fitness.",Intermediate
Calves Broad Jump,Calves,12-15 kcal/min,Power,Dumbbell,"This is a power exercise that primarily targets the calves. It is performed using dumbbell and helps improve strength, endurance, or mobility. Suitable for beginner level trainees aiming to enhance overall fitness.",Beginner
Legs Band Walk,Legs,12-10 kcal/min,Rehab,Resistance Band,"This is a rehab exercise that primarily targets the legs. It is performed using resistance band and helps improve strength, endurance, or mobility. Suitable for intermediate level trainees aiming to enhance overall fitness.",Intermediate
Core Cycle,Core,6-19 kcal/min,Cardio,Kettlebell,"This is a cardio exercise that primarily targets the core. It is performed using kettlebell and helps improve strength, endurance, or mobility. Suitable for beginner level trainees aiming to enhance overall fitness.",Beginner
Calves Squat,Calves,11-15 kcal/min,Strength,None,"This is a strength exercise that primarily targets the calves. It is performed using none and helps improve strength, endurance, or mobility. Suitable for beginner level trainees aiming to enhance overall fitness.",Beginner
Legs Step-Up,Legs,11-19 kcal/min,Cardio,None,"This is a cardio exercise that primarily targets the legs. It is performed using none and helps improve strength, endurance, or mobility. Suitable for advanced level trainees aiming to enhance overall fitness.",Advanced
Legs Leg Raise,Legs,3-15 kcal/min,Core,Medicine Ball,"This is a core exercise that primarily targets the legs. It is performed using medicine ball and helps improve strength, endurance, or mobility. Suitable for beginner level trainees aiming to enhance overall fitness.",Beginner
Legs Sit-Up,Legs,7-15 kcal/min,Core,Kettlebell,"This is a core exercise that primarily targets the legs. It is performed using kettlebell and helps improve strength, endurance, or mobility. Suitable for beginner level trainees aiming to enhance overall fitness.",Beginner
Calves Swing,Calves,5-16 kcal/min,Power,Medicine Ball,"This is a power exercise that primarily targets the calves. It is performed using medicine ball and helps improve strength, endurance, or mobility. Suitable for intermediate level trainees aiming to enhance overall fitness.",Intermediate
Glutes Pilates Move,Glutes,7-11 kcal/min,Mobility,Kettlebell,"This is a mobility exercise that primarily targets the glutes. It is performed using kettlebell and helps improve strength, endurance, or mobility. Suitable for intermediate level trainees aiming to enhance overall fitness.",Intermediate
Chest Russian Twist,Chest,14-11 kcal/min,Core,Machine,"This is a core exercise that primarily targets the chest. It is performed using machine and helps improve strength, endurance, or mobility. Suitable for advanced level trainees aiming to enhance overall fitness.",Advanced
Glutes Extension,Glutes,12-14 kcal/min,Strength,Kettlebell,"This is a strength exercise that primarily targets the glutes. It is performed using kettlebell and helps improve strength, endurance, or mobility. Suitable for intermediate level trainees aiming to enhance overall fitness.",Intermediate
Back Leg Raise,Back,6-18 kcal/min,Core,Kettlebell,"This is a core exercise that primarily targets the back. It is performed using kettlebell and helps improve strength, endurance, or mobility. Suitable for beginner level trainees aiming to enhance overall fitness.",Beginner
Mobility/Stretch Bird Dog,Mobility/Stretch,12-18 kcal/min,Rehab,Barbell,"This is a rehab exercise that primarily targets the mobility/stretch. It is performed using barbell and helps improve strength, endurance, or mobility. Suitable for advanced level trainees aiming to enhance overall fitness.",Advanced
Back Ankle Mobility,Back,4-16 kcal/min,Rehab,Medicine Ball,"This is a rehab exercise that primarily targets the back. It is performed using medicine ball and helps improve strength, endurance, or mobility. Suitable for beginner level trainees aiming to enhance overall fitness.",Beginner
Chest Pull,Chest,9-12 kcal/min,Strength,Bodyweight,"This is a strength exercise that primarily targets the chest. It is performed using bodyweight and helps improve strength, endurance, or mobility. Suitable for beginner level trainees aiming to enhance overall fitness.",Beginner
Hamstrings Crunch,Hamstrings,5-14 kcal/min,Core,Cable,"This is a core exercise that primarily targets the hamstrings. It is performed using cable and helps improve strength, endurance, or mobility. Suitable for beginner level trainees aiming to enhance overall fitness.",Beginner
Quadriceps Row,Quadriceps,14-19 kcal/min,Strength,Bodyweight,"This is a strength exercise that primarily targets the quadriceps. It is performed using bodyweight and helps improve strength, endurance, or mobility. Suitable for beginner level trainees aiming to enhance overall fitness.",Beginner
Full Body Rotation,Full Body,11-15 kcal/min,Mobility,None,"This is a mobility exercise that primarily targets the full body. It is performed using none and helps improve strength, endurance, or mobility. Suitable for intermediate level trainees aiming to enhance overall fitness.",Intermediate
Legs Stretch,Legs,6-10 kcal/min,Mobility,Machine,"This is a mobility exercise that primarily targets the legs. It is performed using machine and helps improve strength, endurance, or mobility. Suitable for intermediate level trainees aiming to enhance overall fitness.",Intermediate
Triceps Box Jump,Triceps,13-13 kcal/min,Cardio,None,"This is a cardio exercise that primarily targets the triceps. It is performed using none and helps improve strength, endurance, or mobility. Suitable for intermediate level trainees aiming to enhance overall fitness.",Intermediate
Legs Cycle,Legs,8-12 kcal/min,Cardio,Cable,"This is a cardio exercise that primarily targets the legs. It is performed using cable and helps improve strength, endurance, or mobility. Suitable for advanced level trainees aiming to enhance overall fitness.",Advanced
Mobility/Stretch Side Bend,Mobility/Stretch,15-19 kcal/min,Core,Resistance Band,"This is a core exercise that primarily targets the mobility/stretch. It is performed using resistance band and helps improve strength, endurance, or mobility. Suitable for intermediate level trainees aiming to enhance overall fitness.",Intermediate
Mobility/Stretch Heel Raise,Mobility/Stretch,11-18 kcal/min,Rehab,Medicine Ball,"This is a rehab exercise that primarily targets the mobility/stretch. It is performed using medicine ball and helps improve strength, endurance, or mobility. Suitable for beginner level trainees aiming to enhance overall fitness.",Beginner
Back Cycle,Back,10-12 kcal/min,Cardio,Kettlebell,"This is a cardio exercise that primarily targets the back. It is performed using kettlebell and helps improve strength, endurance, or mobility. Suitable for beginner level trainees aiming to enhance overall fitness.",Beginner
Chest Step-Up,Chest,13-16 kcal/min,Cardio,Bodyweight,"This is a cardio exercise that primarily targets the chest. It is performed using bodyweight and helps improve strength, endurance, or mobility. Suitable for beginner level trainees aiming to enhance overall fitness.",Beginner
Triceps Face Pull,Triceps,12-17 kcal/min,Rehab,None,"This is a rehab exercise that primarily targets the triceps. It is performed using none and helps improve strength, endurance, or mobility. Suitable for advanced level trainees aiming to enhance overall fitness.",Advanced
Full Body Extension,Full Body,8-16 kcal/min,Strength,Medicine Ball,"This is a strength exercise that primarily targets the full body. It is performed using medicine ball and helps improve strength, endurance, or mobility. Suitable for beginner level trainees aiming to enhance overall fitness.",Beginner
Legs Row,Legs,7-13 kcal/min,Strength,Resistance Band,"This is a strength exercise that primarily targets the legs. It is performed using resistance band and helps improve strength, endurance, or mobility. Suitable for advanced level trainees aiming to enhance overall fitness.",Advanced
Shoulders Hollow Hold,Shoulders,3-14 kcal/min,Core,Machine,"This is a core exercise that primarily targets the shoulders. It is performed using machine and helps improve strength, endurance, or mobility. Suitable for advanced level trainees aiming to enhance overall fitness.",Advanced
Glutes Curl,Glutes,3-14 kcal/min,Strength,Dumbbell,"This is a strength exercise that primarily targets the glutes. It is performed using dumbbell and helps improve strength, endurance, or mobility. Suitable for beginner level trainees aiming to enhance overall fitness.",Beginner
Core Push Press,Core,8-13 kcal/min,Power,None,"This is a power exercise that primarily targets the core. It is performed using none and helps improve strength, endurance, or mobility. Suitable for beginner level trainees aiming to enhance overall fitness.",Beginner
Mobility/Stretch Deadlift,Mobility/Stretch,5-10 kcal/min,Strength,Resistance Band,"This is a strength exercise that primarily targets the mobility/stretch. It is performed using resistance band and helps improve strength, endurance, or mobility. Suitable for beginner level trainees aiming to enhance overall fitness.",Beginner
Quadriceps Roll,Quadriceps,8-20 kcal/min,Mobility,Cable,"This is a mobility exercise that primarily targets the quadriceps. It is performed using cable and helps improve strength, endurance, or mobility. Suitable for advanced level trainees aiming to enhance overall fitness.",Advanced
Core Hollow Hold,Core,3-15 kcal/min,Core,Bodyweight,"This is a core exercise that primarily targets the core. It is performed using bodyweight and helps improve strength, endurance, or mobility. Suitable for advanced level trainees aiming to enhance overall fitness.",Advanced
Chest Bridge,Chest,10-12 kcal/min,Mobility,Dumbbell,"This is a mobility exercise that primarily targets the chest. It is performed using dumbbell and helps improve strength, endurance, or mobility. Suitable for intermediate level trainees aiming to enhance overall fitness.",Intermediate
Chest Row,Chest,3-19 kcal/min,Strength,Dumbbell,"This is a strength exercise that primarily targets the chest. It is performed using dumbbell and helps improve strength, endurance, or mobility. Suitable for intermediate level trainees aiming to enhance overall fitness.",Intermediate
Glutes Box Jump,Glutes,10-19 kcal/min,Cardio,None,"This is a cardio exercise that primarily targets the glutes. It is performed using none and helps improve strength, endurance, or mobility. Suitable for intermediate level trainees aiming to enhance overall fitness.",Intermediate
Triceps Clean,Triceps,3-16 kcal/min,Power,Resistance Band,"This is a power exercise that primarily targets the triceps. It is performed using resistance band and helps improve strength, endurance, or mobility. Suitable for advanced level trainees aiming to enhance overall fitness.",Advanced
Full Body Leg Raise,Full Body,15-14 kcal/min,Core,Cable,"This is a core exercise that primarily targets the full body. It is performed using cable and helps improve strength, endurance, or mobility. Suitable for beginner level trainees aiming to enhance overall fitness.",Beginner
Calves Mountain Climber,Calves,8-18 kcal/min,Cardio,None,"This is a cardio exercise that primarily targets the calves. It is performed using none and helps improve strength, endurance, or mobility. Suitable for beginner level trainees aiming to enhance overall fitness.",Beginner
Full Body Run,Full Body,4-17 kcal/min,Cardio,None,"This is a cardio exercise that primarily targets the full body. It is performed using none and helps improve strength, endurance, or mobility. Suitable for intermediate level trainees aiming to enhance overall fitness.",Intermediate
Mobility/Stretch Squat,Mobility/Stretch,15-11 kcal/min,Strength,Machine,"This is a strength exercise that primarily targets the mobility/stretch. It is performed using machine and helps improve strength, endurance, or mobility. Suitable for beginner level trainees aiming to enhance overall fitness.",Beginner
Chest Medicine Ball Slam,Chest,11-19 kcal/min,Power,Cable,"This is a power exercise that primarily targets the chest. It is performed using cable and helps improve strength, endurance, or mobility. Suitable for intermediate level trainees aiming to enhance overall fitness.",Intermediate
Glutes Rotation,Glutes,10-10 kcal/min,Mobility,Resistance Band,"This is a mobility exercise that primarily targets the glutes. It is performed using resistance band and helps improve strength, endurance, or mobility. Suitable for advanced level trainees aiming to enhance overall fitness.",Advanced
Mobility/Stretch Windshield Wiper,Mobility/Stretch,5-11 kcal/min,Core,Barbell,"This is a core exercise that primarily targets the mobility/stretch. It is performed using barbell and helps improve strength, endurance, or mobility. Suitable for beginner level trainees aiming to enhance overall fitness.",Beginner
Triceps Push Press,Triceps,13-11 kcal/min,Power,Machine,"This is a power exercise that primarily targets the triceps. It is performed using machine and helps improve strength, endurance, or mobility. Suitable for beginner level trainees aiming to enhance overall fitness.",Beginner
Biceps Snatch,Biceps,13-19 kcal/min,Power,Bodyweight,"This is a power exercise that primarily targets the biceps. It is performed using bodyweight and helps improve strength, endurance, or mobility. Suitable for intermediate level trainees aiming to enhance overall fitness.",Intermediate
Legs Heel Raise,Legs,14-14 kcal/min,Rehab,Bodyweight,"This is a rehab exercise that primarily targets the legs. It is performed using bodyweight and helps improve strength, endurance, or mobility. Suitable for advanced level trainees aiming to enhance overall fitness.",Advanced
Shoulders Pilates Move,Shoulders,3-19 kcal/min,Mobility,Bodyweight,"This is a mobility exercise that primarily targets the shoulders. It is performed using bodyweight and helps improve strength, endurance, or mobility. Suitable for advanced level trainees aiming to enhance overall fitness.",Advanced
Chest Pose,Chest,12-20 kcal/min,Mobility,Dumbbell,"This is a mobility exercise that primarily targets the chest. It is performed using dumbbell and helps improve strength, endurance, or mobility. Suitable for beginner level trainees aiming to enhance overall fitness.",Beginner
Shoulders Sit-Up,Shoulders,3-16 kcal/min,Core,Machine,"This is a core exercise that primarily targets the shoulders. It is performed using machine and helps improve strength, endurance, or mobility. Suitable for beginner level trainees aiming to enhance overall fitness.",Beginner
Triceps Swing,Triceps,15-11 kcal/min,Power,Barbell,"This is a power exercise that primarily targets the triceps. It is performed using barbell and helps improve strength, endurance, or mobility. Suitable for advanced level trainees aiming to enhance overall fitness.",Advanced
Full Body Cat-Cow,Full Body,5-10 kcal/min,Mobility,None,"This is a mobility exercise that primarily targets the full body. It is performed using none and helps improve strength, endurance, or mobility. Suitable for advanced level trainees aiming to enhance overall fitness.",Advanced
Back Cycle,Back,7-17 kcal/min,Cardio,Kettlebell,"This is a cardio exercise that primarily targets the back. It is performed using kettlebell and helps improve strength, endurance, or mobility. Suitable for intermediate level trainees aiming to enhance overall fitness.",Intermediate
Back Leg Raise,Back,8-15 kcal/min,Core,Resistance Band,"This is a core exercise that primarily targets the back. It is performed using resistance band and helps improve strength, endurance, or mobility. Suitable for advanced level trainees aiming to enhance overall fitness.",Advanced
Triceps Pilates Move,Triceps,8-20 kcal/min,Mobility,Bodyweight,"This is a mobility exercise that primarily targets the triceps. It is performed using bodyweight and helps improve strength, endurance, or mobility. Suitable for intermediate level trainees aiming to enhance overall fitness.",Intermediate
Calves Broad Jump,Calves,7-18 kcal/min,Power,Dumbbell,"This is a power exercise that primarily targets the calves. It is performed using dumbbell and helps improve strength, endurance, or mobility. Suitable for beginner level trainees aiming to enhance overall fitness.",Beginner
Quadriceps Hollow Hold,Quadriceps,12-18 kcal/min,Core,Resistance Band,"This is a core exercise that primarily targets the quadriceps. It is performed using resistance band and helps improve strength, endurance, or mobility. Suitable for advanced level trainees aiming to enhance overall fitness.",Advanced
Glutes Glute Bridge,Glutes,11-16 kcal/min,Rehab,Barbell,"This is a rehab exercise that primarily targets the glutes. It is performed using barbell and helps improve strength, endurance, or mobility. Suitable for beginner level trainees aiming to enhance overall fitness.",Beginner
Biceps Heel Raise,Biceps,4-19 kcal/min,Rehab,Machine,"This is a rehab exercise that primarily targets the biceps. It is performed using machine and helps improve strength, endurance, or mobility. Suitable for advanced level trainees aiming to enhance overall fitness.",Advanced
Glutes Reach,Glutes,8-20 kcal/min,Mobility,None,"This is a mobility exercise that primarily targets the glutes. It is performed using none and helps improve strength, endurance, or mobility. Suitable for advanced level trainees aiming to enhance overall fitness.",Advanced
Full Body Windshield Wiper,Full Body,11-20 kcal/min,Core,Kettlebell,"This is a core exercise that primarily targets the full body. It is performed using kettlebell and helps improve strength, endurance, or mobility. Suitable for beginner level trainees aiming to enhance overall fitness.",Beginner
