Meal Name,Description,Meal Category,Portion Size,Calories (kcal),Carbs (g),Protein (g),Fats (g),Fiber (g),Sodium (mg),Vitamin A (μg),Vitamin C (mg),Calcium (mg),Iron (mg)
Besan Cheela with Paneer Variant 10,High protein version of Besan Cheela with Paneer with added protein sources,North Indian,196g,436,26,41,19,9,868,109,16,235,2.4
Sprouted Moong Salad with Chicken Variant 1,High protein version of Sprouted Moong Salad with Chicken with added protein sources,Dessert,236g,311,39,42,14,6,887,68,27,122,1.9
Sunflower Seed Chutney with Mutton Variant 2,High protein version of Sunflower Seed Chutney with Mutton with added protein sources,North Indian,289g,452,27,29,15,10,673,98,23,290,2.5
Proso Millet Salad with Eggs Variant 3,High protein version of Proso Millet Salad with Eggs with added protein sources,Street Food,186g,455,21,36,17,4,591,73,15,141,3.3
Tandoori Chicken Variant 4,High protein version of Tandoori Chicken with added protein sources,North Indian,230g,498,49,32,28,10,747,142,30,100,3.4
Cottage Cheese Salad Variant 5,High protein version of Cottage Cheese Salad with added protein sources,Dessert,289g,376,39,45,16,8,520,114,21,207,2.6
Sprouts Chaat with Yogurt Variant 6,High protein version of Sprouts Chaat with Yogurt with added protein sources,Street Food,234g,553,38,27,23,5,766,105,19,180,4.3
Grilled Fish Variant 7,High protein version of Grilled Fish with added protein sources,Street Food,270g,481,46,32,27,5,601,82,14,164,1.6
Moong Dal with Paneer Variant 8,High protein version of Moong Dal with Paneer with added protein sources,Dessert,280g,492,24,46,27,7,883,106,21,196,1.8
Short Grain Rice Porridge with Chicken Variant 9,High protein version of Short Grain Rice Porridge with Chicken with added protein sources,South Indian,243g,553,44,49,11,4,887,63,24,178,3.3
Millets Khichdi with Lentils Variant 10,High protein version of Millets Khichdi with Lentils with added protein sources,South Indian,297g,436,27,46,28,10,838,59,29,274,1.8
Nutty Chicken Curry Variant 1,High protein version of Nutty Chicken Curry with added protein sources,Snack,299g,374,30,27,15,6,641,105,15,261,2.4
Flaxseed Roti with Dal Variant 2,High protein version of Flaxseed Roti with Dal with added protein sources,Dessert,153g,490,30,27,21,4,882,104,11,114,3.6
Chicken Korma Variant 3,High protein version of Chicken Korma with added protein sources,Snack,218g,471,20,30,25,9,604,84,27,290,2.9
Sesame Chicken Variant 4,High protein version of Sesame Chicken with added protein sources,North Indian,167g,302,45,50,28,4,668,66,19,186,4.1
Rajma with Chicken Variant 5,High protein version of Rajma with Chicken with added protein sources,Dessert,272g,306,27,50,24,4,822,55,26,259,2.9
Quinoa Khichdi with Lentils Variant 6,High protein version of Quinoa Khichdi with Lentils with added protein sources,Snack,160g,535,22,37,24,10,838,139,27,270,3.8
Paneer Tikka Variant 7,High protein version of Paneer Tikka with added protein sources,South Indian,281g,469,38,50,20,5,866,144,30,259,2.7
Butter Chicken Variant 8,High protein version of Butter Chicken with added protein sources,Street Food,159g,420,42,32,20,9,775,145,26,123,4
Brown Rice Biryani with Mutton Variant 9,High protein version of Brown Rice Biryani with Mutton with added protein sources,Dessert,261g,389,33,48,17,7,695,104,26,243,3.7
Puffed Rice Chaat with Sprouts Variant 10,High protein version of Puffed Rice Chaat with Sprouts with added protein sources,Snack,153g,579,40,29,10,8,558,148,29,105,2.7
Long Grain Rice Khichdi with Dal Variant 1,High protein version of Long Grain Rice Khichdi with Dal with added protein sources,South Indian,219g,490,32,38,26,10,670,110,14,132,4.3
Chia Seed Pudding with Yogurt Variant 2,High protein version of Chia Seed Pudding with Yogurt with added protein sources,North Indian,186g,519,33,49,14,10,756,108,23,284,3.4
Mutton Korma Variant 3,High protein version of Mutton Korma with added protein sources,North Indian,250g,512,25,25,13,8,721,121,11,140,2.1
Pistachio Milk with Eggs Variant 4,High protein version of Pistachio Milk with Eggs with added protein sources,South Indian,264g,529,45,42,13,8,606,86,25,254,3
Paneer Tikka Variant 5,High protein version of Paneer Tikka with added protein sources,Dessert,168g,355,39,49,21,7,862,129,17,251,3.7
Peanut Butter Chutney with Chicken Variant 6,High protein version of Peanut Butter Chutney with Chicken with added protein sources,North Indian,226g,515,21,28,30,10,697,72,11,246,2.9
Teff Grain Salad with Paneer Variant 7,High protein version of Teff Grain Salad with Paneer with added protein sources,Street Food,226g,533,25,29,24,6,603,56,18,141,3.6
Pearl Millet Porridge with Milk Variant 8,High protein version of Pearl Millet Porridge with Milk with added protein sources,South Indian,161g,573,33,35,20,6,580,117,11,248,3.8
Greek Yogurt Parfait with Nuts Variant 9,High protein version of Greek Yogurt Parfait with Nuts with added protein sources,South Indian,154g,427,39,46,20,9,837,64,15,267,4.5
Prawn Masala Variant 10,High protein version of Prawn Masala with added protein sources,Street Food,196g,328,30,39,27,10,621,140,24,263,1.9
Sunflower Seed Chutney with Mutton Variant 1,High protein version of Sunflower Seed Chutney with Mutton with added protein sources,North Indian,295g,504,28,26,30,4,626,125,30,284,1.9
Proso Millet Salad with Eggs Variant 2,High protein version of Proso Millet Salad with Eggs with added protein sources,South Indian,158g,391,49,27,21,4,662,95,23,178,2.2
Grilled Fish Variant 3,High protein version of Grilled Fish with added protein sources,Dessert,189g,534,36,46,14,5,871,128,17,125,3.7
Chicken Salad Variant 4,High protein version of Chicken Salad with added protein sources,Dessert,183g,333,50,42,18,4,765,98,20,208,2
Basmati Rice Pulao with Prawns Variant 5,High protein version of Basmati Rice Pulao with Prawns with added protein sources,South Indian,294g,533,23,50,25,10,897,58,23,290,3.1
Quinoa Khichdi with Lentils Variant 6,High protein version of Quinoa Khichdi with Lentils with added protein sources,Dessert,256g,479,28,34,13,8,825,101,12,268,3.4
Jasmine Rice Salad with Tofu Variant 7,High protein version of Jasmine Rice Salad with Tofu with added protein sources,North Indian,176g,544,32,34,10,9,565,61,13,190,3.3
Lentil Curry with Fish Variant 8,High protein version of Lentil Curry with Fish with added protein sources,South Indian,295g,350,36,39,10,8,595,147,18,180,1.9
Fish Tikka Variant 9,High protein version of Fish Tikka with added protein sources,South Indian,241g,403,30,33,23,4,797,85,20,231,4
Teff Grain Salad with Paneer Variant 10,High protein version of Teff Grain Salad with Paneer with added protein sources,South Indian,185g,480,20,32,14,5,591,82,15,157,2.3
Fonio Pulao with Fish Variant 1,High protein version of Fonio Pulao with Fish with added protein sources,Dessert,297g,311,50,31,16,9,611,128,28,277,1.8
Tuna Salad Indian Style Variant 2,High protein version of Tuna Salad Indian Style with added protein sources,South Indian,252g,578,27,44,26,10,892,61,24,175,1.6
Paneer Tikka Variant 3,High protein version of Paneer Tikka with added protein sources,Dessert,223g,594,43,36,10,7,570,116,28,287,3.7
Sesame Chicken Variant 4,High protein version of Sesame Chicken with added protein sources,Street Food,170g,469,48,49,30,7,816,99,18,208,3.4
Egg Bhurji Variant 5,High protein version of Egg Bhurji with added protein sources,Snack,239g,318,32,47,11,4,695,58,21,192,2.1
Dal Fry with Tofu Variant 6,High protein version of Dal Fry with Tofu with added protein sources,Dessert,193g,576,24,44,13,8,528,75,16,220,2.4
Sushi Rice Balls with Fish Variant 7,High protein version of Sushi Rice Balls with Fish with added protein sources,Snack,188g,303,37,43,14,10,643,102,24,300,1.9
Tofu Masala Variant 8,High protein version of Tofu Masala with added protein sources,Street Food,187g,558,42,42,30,6,680,66,12,134,2.8
Oats Porridge with Milk and Eggs Variant 9,High protein version of Oats Porridge with Milk and Eggs with added protein sources,Dessert,298g,327,33,34,12,9,596,141,22,227,4.3
Mutton Biryani Variant 10,High protein version of Mutton Biryani with added protein sources,North Indian,161g,424,42,26,19,10,750,125,24,144,2.8
Arborio Rice Risotto Indian Style with Yogurt Variant 1,High protein version of Arborio Rice Risotto Indian Style with Yogurt with added protein sources,Street Food,241g,499,21,31,26,6,797,100,27,113,3.9
Prawn Masala Variant 2,High protein version of Prawn Masala with added protein sources,Snack,210g,379,20,46,25,7,513,101,18,168,2.4
Quinoa Khichdi with Lentils Variant 3,High protein version of Quinoa Khichdi with Lentils with added protein sources,Snack,223g,558,32,49,27,7,881,51,11,244,4
Jasmine Rice Salad with Tofu Variant 4,High protein version of Jasmine Rice Salad with Tofu with added protein sources,Snack,289g,567,36,43,17,8,890,88,15,166,3.2
Pistachio Milk with Eggs Variant 5,High protein version of Pistachio Milk with Eggs with added protein sources,Dessert,283g,535,37,46,13,6,686,110,18,148,1.6
Sprouted Moong Salad with Chicken Variant 6,High protein version of Sprouted Moong Salad with Chicken with added protein sources,North Indian,287g,313,39,35,19,9,852,81,18,236,2.5
Prawn Biryani Variant 7,High protein version of Prawn Biryani with added protein sources,Snack,293g,504,25,28,28,5,692,104,26,262,3.5
Short Grain Rice Porridge with Chicken Variant 8,High protein version of Short Grain Rice Porridge with Chicken with added protein sources,Dessert,199g,398,32,46,27,5,528,69,28,251,2
Long Grain Rice Khichdi with Dal Variant 9,High protein version of Long Grain Rice Khichdi with Dal with added protein sources,North Indian,191g,355,48,49,14,7,559,87,14,127,4
Broken Rice Upma with Eggs Variant 10,High protein version of Broken Rice Upma with Eggs with added protein sources,North Indian,274g,348,36,42,12,7,764,114,28,231,2.8
Broken Rice Upma with Eggs Variant 1,High protein version of Broken Rice Upma with Eggs with added protein sources,Dessert,230g,506,33,26,24,9,569,133,15,139,4
Tuna Salad Indian Style Variant 2,High protein version of Tuna Salad Indian Style with added protein sources,Snack,196g,428,41,30,25,6,520,145,22,191,3.7
Wild Rice Khichdi with Lentils Variant 3,High protein version of Wild Rice Khichdi with Lentils with added protein sources,Street Food,171g,504,33,25,17,10,861,143,29,134,4.1
Egg Curry Variant 4,High protein version of Egg Curry with added protein sources,Snack,255g,369,25,32,23,7,588,107,17,207,3.2
Jasmine Rice Salad with Tofu Variant 5,High protein version of Jasmine Rice Salad with Tofu with added protein sources,Dessert,197g,328,36,40,18,10,530,115,19,219,2.7
Little Millet Khichdi with Prawns Variant 6,High protein version of Little Millet Khichdi with Prawns with added protein sources,Dessert,195g,341,41,31,19,5,715,90,30,174,1.7
Chia Seed Pudding with Yogurt Variant 7,High protein version of Chia Seed Pudding with Yogurt with added protein sources,Street Food,173g,383,44,50,25,8,502,63,23,293,4.1
Fonio Pulao with Fish Variant 8,High protein version of Fonio Pulao with Fish with added protein sources,North Indian,164g,568,26,36,27,9,770,149,15,192,4.2
Bajra Khichdi with Paneer Variant 9,High protein version of Bajra Khichdi with Paneer with added protein sources,Street Food,254g,352,48,34,15,7,511,113,15,187,1.8
Moong Dal with Paneer Variant 10,High protein version of Moong Dal with Paneer with added protein sources,Snack,221g,446,43,42,15,5,581,70,29,118,1.6
Sushi Rice Balls with Fish Variant 1,High protein version of Sushi Rice Balls with Fish with added protein sources,Snack,263g,427,30,45,30,8,668,51,11,133,4.2
Jowar Roti with Dal and Chicken Variant 2,High protein version of Jowar Roti with Dal and Chicken with added protein sources,Snack,247g,380,23,43,18,5,867,99,25,237,3.9
Sticky Rice Pudding with Milk Variant 3,High protein version of Sticky Rice Pudding with Milk with added protein sources,North Indian,245g,417,35,40,30,9,586,129,19,201,1.6
Sprouted Moong Salad with Chicken Variant 4,High protein version of Sprouted Moong Salad with Chicken with added protein sources,North Indian,249g,311,26,28,19,10,740,100,30,292,2.7
Broken Rice Upma with Eggs Variant 5,High protein version of Broken Rice Upma with Eggs with added protein sources,Dessert,195g,574,39,28,30,10,533,140,12,174,3.4
Yogurt Dip with Veggies and Paneer Variant 6,High protein version of Yogurt Dip with Veggies and Paneer with added protein sources,South Indian,215g,353,37,27,25,6,756,64,29,279,2.9
Chana Masala with Eggs Variant 7,High protein version of Chana Masala with Eggs with added protein sources,Dessert,155g,332,21,42,21,7,601,110,10,135,2.8
Oats Porridge with Milk and Eggs Variant 8,High protein version of Oats Porridge with Milk and Eggs with added protein sources,Street Food,164g,569,22,49,10,7,676,128,30,291,3.8
Sorghum Flour Paratha with Chicken Variant 9,High protein version of Sorghum Flour Paratha with Chicken with added protein sources,Snack,202g,341,29,39,18,6,567,57,11,147,3.9
Cottage Cheese Salad Variant 10,High protein version of Cottage Cheese Salad with added protein sources,Dessert,160g,409,50,25,26,8,619,74,25,129,1.9
Mutton Rogan Josh Variant 1,High protein version of Mutton Rogan Josh with added protein sources,South Indian,257g,393,33,33,18,8,536,150,18,226,2.6
Sticky Rice Pudding with Milk Variant 2,High protein version of Sticky Rice Pudding with Milk with added protein sources,North Indian,297g,327,44,29,30,6,647,90,15,250,1.7
Dal Fry with Tofu Variant 3,High protein version of Dal Fry with Tofu with added protein sources,Dessert,279g,452,35,36,29,6,761,97,16,107,3.1
Mutton Korma Variant 4,High protein version of Mutton Korma with added protein sources,North Indian,229g,565,45,34,19,9,859,112,29,258,3.5
Oats Porridge with Milk and Eggs Variant 5,High protein version of Oats Porridge with Milk and Eggs with added protein sources,Street Food,172g,422,20,31,17,5,642,150,23,110,2.1
Butter Chicken Variant 6,High protein version of Butter Chicken with added protein sources,Street Food,183g,419,45,35,10,4,553,63,28,257,3.9
Greek Yogurt Parfait with Nuts Variant 7,High protein version of Greek Yogurt Parfait with Nuts with added protein sources,South Indian,184g,332,28,34,23,4,576,107,11,118,1.9
Long Grain Rice Khichdi with Dal Variant 8,High protein version of Long Grain Rice Khichdi with Dal with added protein sources,North Indian,290g,474,45,44,30,8,835,139,26,291,2.2
Mutton Biryani Variant 9,High protein version of Mutton Biryani with added protein sources,North Indian,266g,533,40,29,21,5,754,68,29,239,3.5
Almond Milk Shake with Protein Variant 10,High protein version of Almond Milk Shake with Protein with added protein sources,South Indian,200g,406,31,42,16,10,636,102,20,264,3.8
Finger Millet Balls with Yogurt Variant 1,High protein version of Finger Millet Balls with Yogurt with added protein sources,Dessert,233g,513,44,30,14,6,563,103,22,217,4.4
Amaranth Porridge with Yogurt Variant 2,High protein version of Amaranth Porridge with Yogurt with added protein sources,South Indian,189g,451,20,50,25,8,559,88,29,149,2.1
Sushi Rice Balls with Fish Variant 3,High protein version of Sushi Rice Balls with Fish with added protein sources,North Indian,152g,308,36,46,19,7,816,68,15,189,2.9
Cottage Cheese Salad Variant 4,High protein version of Cottage Cheese Salad with added protein sources,South Indian,216g,429,47,37,13,7,635,87,19,106,1.6
Prawn Biryani Variant 5,High protein version of Prawn Biryani with added protein sources,Snack,286g,480,42,34,24,10,526,67,28,257,1.8
Short Grain Rice Porridge with Chicken Variant 6,High protein version of Short Grain Rice Porridge with Chicken with added protein sources,South Indian,252g,419,20,50,29,4,895,67,30,180,2.4
Sunflower Seed Chutney with Mutton Variant 7,High protein version of Sunflower Seed Chutney with Mutton with added protein sources,Dessert,204g,451,38,36,12,4,835,104,28,184,2.4
Buckwheat Pulao with Tofu Variant 8,High protein version of Buckwheat Pulao with Tofu with added protein sources,North Indian,221g,483,22,28,25,10,775,98,10,196,2.5
Quinoa Upma with Eggs Variant 9,High protein version of Quinoa Upma with Eggs with added protein sources,South Indian,271g,523,25,25,11,6,616,126,22,277,2.2
Black Rice Pulao with Chicken Variant 10,High protein version of Black Rice Pulao with Chicken with added protein sources,North Indian,289g,565,43,30,21,10,765,147,14,178,1.5
Mutton Rogan Josh Variant 1,High protein version of Mutton Rogan Josh with added protein sources,South Indian,300g,410,20,32,24,8,808,149,30,202,2.7
Mutton Stew Variant 2,High protein version of Mutton Stew with added protein sources,Street Food,155g,353,42,29,28,9,791,77,23,180,4.2
Paneer Bhurji Variant 3,High protein version of Paneer Bhurji with added protein sources,Snack,259g,453,28,39,13,4,541,85,24,290,2.8
Millets Khichdi with Lentils Variant 4,High protein version of Millets Khichdi with Lentils with added protein sources,Dessert,255g,327,31,31,22,9,532,125,26,144,3.6
Flaxseed Roti with Dal Variant 5,High protein version of Flaxseed Roti with Dal with added protein sources,Snack,193g,345,36,44,26,9,839,133,10,206,3.7
Chickpea Salad Variant 6,High protein version of Chickpea Salad with added protein sources,Snack,245g,456,43,50,28,5,527,118,19,145,3.9
Tandoori Chicken Variant 7,High protein version of Tandoori Chicken with added protein sources,Street Food,157g,343,20,37,22,7,870,61,11,290,2.7
Lentil Patties Variant 8,High protein version of Lentil Patties with added protein sources,Street Food,294g,442,49,34,16,9,517,93,12,168,2.7
Brown Rice Biryani with Mutton Variant 9,High protein version of Brown Rice Biryani with Mutton with added protein sources,Street Food,194g,381,44,30,18,5,650,53,19,278,4
Rajma with Chicken Variant 10,High protein version of Rajma with Chicken with added protein sources,Street Food,231g,438,39,34,27,10,542,134,14,169,4.2
Dal Fry with Tofu Variant 1,High protein version of Dal Fry with Tofu with added protein sources,Dessert,213g,480,49,29,30,7,872,86,10,152,2.1
Rajma with Chicken Variant 2,High protein version of Rajma with Chicken with added protein sources,South Indian,160g,597,25,32,17,5,882,134,21,150,4.3
Flaxseed Roti with Dal Variant 3,High protein version of Flaxseed Roti with Dal with added protein sources,North Indian,268g,363,29,48,23,4,853,118,16,248,2.3
Sprouted Moong Salad with Chicken Variant 4,High protein version of Sprouted Moong Salad with Chicken with added protein sources,North Indian,215g,366,47,49,11,4,850,104,30,270,3.2
Kodo Millet Pulao with Mutton Variant 5,High protein version of Kodo Millet Pulao with Mutton with added protein sources,Snack,190g,357,42,50,18,4,658,90,26,282,1.8
Yogurt Dip with Veggies and Paneer Variant 6,High protein version of Yogurt Dip with Veggies and Paneer with added protein sources,Street Food,242g,497,24,48,14,10,531,130,16,285,2.1
Palak Paneer with Extra Paneer Variant 7,High protein version of Palak Paneer with Extra Paneer with added protein sources,Street Food,299g,365,38,30,21,4,891,97,30,290,3.5
Pearl Millet Porridge with Milk Variant 8,High protein version of Pearl Millet Porridge with Milk with added protein sources,Dessert,164g,589,43,44,26,8,591,79,25,232,2.6
Buckwheat Pulao with Tofu Variant 9,High protein version of Buckwheat Pulao with Tofu with added protein sources,Snack,279g,416,47,40,22,5,568,104,29,112,1.6
Lemon Rice,Rice tempered with lemon and spices,South Indian,1 plate (200g),250,40,5,8,4,500,20,15,100,1.5
Tamarind Rice,Rice mixed with tamarind paste and spices,South Indian,1 plate (200g),250,40,5,8,4,500,20,15,100,1.5
Curd Rice,Rice mixed with yogurt and spices,South Indian,1 plate (200g),200,30,6,6,3,500,20,10,100,1.5
Bisi Bele Bath,"Rice, lentils, and vegetables in spiced broth",South Indian,1 plate (250g),350,50,10,12,6,600,40,15,120,2
Kesari Bath,Semolina dessert with saffron and nuts,Dessert,1 bowl (150g),250,40,3,10,2,300,10,5,50,1
Payasam,Rice or vermicelli in sweetened milk,Dessert,1 bowl (150g),250,35,5,10,2,300,20,5,80,1
Halwa,Semolina or carrot-based sweet,Dessert,1 bowl (150g),300,40,4,12,2,300,50,5,60,1
Laddu,Sweet balls made from gram flour or semolina,Dessert,2 pieces (100g),300,40,5,12,2,300,20,5,60,1
Barfi,Milk-based sweet with nuts,Dessert,2 pieces (100g),300,35,6,15,1,300,20,5,80,1
Rasmalai,Cheese dumplings in sweetened milk,Dessert,2 pieces (100g),300,35,6,15,1,350,20,5,100,1
Mysore Pak,Gram flour sweet with ghee,Dessert,2 pieces (100g),350,40,5,20,1,300,10,5,60,1
Khichdi,Rice and lentil dish with spices,North Indian,1 plate (200g),250,40,8,6,5,500,20,5,100,1.8
Vegetable Fried Rice,Rice stir-fried with vegetables and spices,North Indian,1 plate (200g),250,40,5,8,4,600,40,15,100,1.5
Paneer Tikka,Grilled paneer cubes with spices,North Indian,4 pieces (200g),300,10,15,20,3,600,50,10,150,2
Mutton Curry,"Spiced mutton in rich gravy, served with rice",North Indian,200g curry + 150g rice,500,50,25,20,5,700,60,10,150,2
Chicken Korma,Chicken in creamy cashew curry,North Indian,200g curry + 1 naan (100g),500,50,20,25,4,700,80,10,150,2
Aloo Methi,Potato and fenugreek leaves curry,North Indian,200g,250,30,6,10,6,550,100,20,120,2.5
Dal Tadka,Yellow lentils tempered with spices,North Indian,200g + 150g rice,350,50,12,10,6,600,50,10,120,2
Gobi Manchurian,Cauliflower in Indo-Chinese sauce,Street Food,200g,300,35,6,12,5,700,50,15,100,1.8
Chilli Chicken,Chicken in spicy Indo-Chinese sauce,Street Food,200g,350,20,20,15,4,800,50,10,120,2
Hakka Noodles,Stir-fried noodles with vegetables,Street Food,1 plate (200g),300,45,6,10,4,700,40,15,100,1.5
Manchow Soup,Spicy Indo-Chinese vegetable soup,Street Food,1 bowl (200ml),100,15,3,3,3,600,30,15,80,1
Spring Rolls,Crispy rolls filled with vegetables,Street Food,2 rolls (100g),200,25,4,10,3,600,30,10,80,1.5
Pav Vada,Spiced potato fritter in bun,Street Food,1 vada pav (150g),300,40,6,14,4,800,40,10,120,1.8
Frankie,Spiced filling wrapped in flatbread,Street Food,1 roll (200g),350,40,10,15,4,700,50,10,120,2
Masala Papad,Crispy papad topped with spices and veggies,Snack,1 papad (50g),100,10,2,5,2,400,20,5,50,1
Khaman,Steamed gram flour snack,Snack,2 pieces (100g),150,20,5,6,3,500,20,5,80,1.5
Patra,Steamed colocasia leaves with spices,Snack,2 pieces (100g),150,20,4,6,4,500,50,10,100,1.8
Thepla,Spiced fenugreek flatbread,Snack,2 theplas (100g),200,30,5,8,3,500,50,10,100,1.8
Fafda,Crispy gram flour snack,Snack,50g,150,15,3,8,2,400,10,5,50,1
Gathiya,Crispy gram flour snack,Snack,50g,150,15,3,8,2,400,10,5,50,1
Ponganalu,Rice and lentil dumplings,South Indian,4 pieces (100g),200,30,5,8,3,500,20,5,80,1.5
Kuzhi Paniyaram,Savory rice and lentil dumplings,South Indian,4 pieces (100g),200,30,5,8,3,500,20,5,80,1.5
Adai,Lentil and rice pancake,South Indian,1 adai (150g) + 50g chutney,250,35,8,8,5,550,30,10,120,2
Avial,Mixed vegetables in coconut-based curry,South Indian,200g + 150g rice,350,50,8,12,6,600,60,20,150,2
Kootu,Lentil and vegetable stew,South Indian,200g + 150g rice,350,50,10,10,6,600,50,15,120,2
Poriyal,Stir-fried vegetables with coconut,South Indian,150g,150,15,3,8,4,500,40,15,100,1.8
Chicken Saag,Chicken in spinach-based curry,North Indian,200g curry + 150g rice,450,50,25,15,6,700,150,20,200,2.5
Mutton Rogan Josh,Spiced mutton curry with yogurt,North Indian,200g curry + 1 naan (100g),500,50,25,20,5,700,80,10,150,2
Paneer Bhurji,Scrambled paneer with spices,North Indian,200g + 2 rotis (100g),400,45,15,18,5,600,80,10,150,2
Egg Bhurji,Scrambled eggs with spices,North Indian,200g + 2 rotis (100g),350,40,12,15,4,600,60,10,120,2
